TIG_PostNL::Error code %s:,Error code %s:
TIG_PostNL::An error occurred whilst processing your request:,An error occurred whilst processing your request:
TIG_PostNL::Your webshop has been registered. You should receive an email on the email address you specify shortly. ,Your webshop has been registered. You should receive an email on the email address you specify shortly.
TIG_PostNL::Please read this email carefully as it contains instructions on how to finish the extension activation procedure.,Please read this email carefully as it contains instructions on how to finish the extension activation procedure.
TIG_PostNL::Please fill in your unique and private keys and try again.,Please fill in your unique and private keys and try again.
TIG_PostNL::The extension has been successfully registered!,The extension has been successfully registered!
TIG_PostNL::here,here
TIG_PostNL::No,No
TIG_PostNL::Yes,Yes
TIG_PostNL::PakjeGemak,PakjeGemak
TIG_PostNL::Domestic,Domestic
TIG_PostNL::EPS,EPS
TIG_PostNL::GlobalPack,GlobalPack
TIG_PostNL::Confirmed,Confirmed
TIG_PostNL::Confirmation expired,Confirmation expired
TIG_PostNL::Today,Today
TIG_PostNL::No barcode available.,No barcode available.
TIG_PostNL::Shipment #%s has already been confirmed.,Shipment #%s has already been confirmed.
TIG_PostNL::You must first print a shipping label for this shipment.,You must first print a shipping label for this shipment.
TIG_PostNL::Are you sure? The PostNL extension will not function until you\'ve registered the extension.,Are you sure? The PostNL extension will not function until you\'ve registered the extension.
TIG_PostNL::Finish registration,Finish registration
TIG_PostNL::Send security keys,Send security keys
TIG_PostNL::Mijnpakket,Mijnpakket
TIG_PostNL::View this shipment in mijnpakket,View this shipment in mijnpakket
TIG_PostNL::Wrong message type,Wrong message type
TIG_PostNL::Are you sure you want to send PostNL tracking information to the customer?,Are you sure you want to send PostNL tracking information to the customer?
TIG_PostNL::Send Date,Send Date
TIG_PostNL::Labels printed,Labels printed
TIG_PostNL::Track & Trace,Track & Trace
TIG_PostNL::Shipping Phase,Shipping Phase
TIG_PostNL::Print label,Print label
TIG_PostNL::Confirm,Confirm
TIG_PostNL::PostNL - Print shipping labels & confirm shipment,PostNL - Print shipping labels & confirm shipment
TIG_PostNL::PostNL - Print shipping labels,PostNL - Print shipping labels
TIG_PostNL::PostNL - Confirm shipments,PostNL - Confirm shipments
TIG_PostNL::Shipment type,Shipment type
TIG_PostNL::PostNL - Create Shipments,PostNL - Create Shipments
TIG_PostNL::Product options,Product options
TIG_PostNL::Shipping Method,Shipping Method
TIG_PostNL::Shipment Type,Shipment Type
TIG_PostNL::Labels Printed,Labels Printed
TIG_PostNL::Shipping Phase,Shipping Phase
TIG_PostNL::Invalid Table Rate code type:,Invalid Table Rate code type:
TIG_PostNL::Invalid Table Rate code for type %s:,Invalid Table Rate code for type %s:
TIG_PostNL::Flat,Flat
TIG_PostNL::Table,Table
TIG_PostNL::Post Office + Extra Cover,Post Office + Extra Cover
TIG_PostNL::Post Office + Extra Cover + Notification,Post Office + Extra Cover + Notification
TIG_PostNL::Post Office + Signature on Delivery,Post Office + Signature on Delivery
TIG_PostNL::Post Office + Signature on Delivery + Notification,Post Office + Signature on Delivery + Notification
TIG_PostNL::Metric,Metric
TIG_PostNL::Tonne (t),Tonne (t)
TIG_PostNL::Kilogram (kg),Kilogram (kg)
TIG_PostNL::Hectogram (hg),Hectogram (hg)
TIG_PostNL::Gram (g),Gram (g)
TIG_PostNL::Carat,Carat
TIG_PostNL::Centigram,Centigram
TIG_PostNL::Milligram (mg),Milligram (mg)
TIG_PostNL::Avoirdupois (US),Avoirdupois (US)
TIG_PostNL::Long ton,Long ton
TIG_PostNL::Short ton,Short ton
TIG_PostNL::Long hundredweight,Long hundredweight
TIG_PostNL::Short hundredweight,Short hundredweight
TIG_PostNL::Stone,Stone
TIG_PostNL::Pound (lb),Pound (lb)
TIG_PostNL::Ounce,Ounce
TIG_PostNL::Grain (g),Grain (g)
TIG_PostNL::Troy,Troy
TIG_PostNL::Pound,Pound
TIG_PostNL::Ounce,Ounce
TIG_PostNL::Pennyweight,Pennyweight
TIG_PostNL::carat,carat
TIG_PostNL::Mite,Mite
TIG_PostNL::Grain,Grain
TIG_PostNL::Street line,Street line
TIG_PostNL::Extra Cover,Extra Cover
TIG_PostNL::Extra cover + Return when not home,Extra cover + Return when not home
TIG_PostNL::Signature on delivery,Signature on delivery
TIG_PostNL::Signature on delivery + Delivery to stated address only,Signature on delivery + Delivery to stated address only
TIG_PostNL::Signature on delivery + Return when not home,Signature on delivery + Return when not home
TIG_PostNL::Signature on delivery + Deliver to stated address only + Return when not home,Signature on delivery + Deliver to stated address only + Return when not home
TIG_PostNL::Delivery to neighbour + Return when not home,Delivery to neighbour + Return when not home
TIG_PostNL::Deliver to stated address only,Deliver to stated address only
TIG_PostNL::Deliver to stated address only + Return when not home,Deliver to stated address only + Return when not home
TIG_PostNL::Print shipping labels & confirm shipment,Print shipping labels & confirm shipment
TIG_PostNL::Print shipping labels,Print shipping labels
TIG_PostNL::Confirm shipments,Confirm shipments
TIG_PostNL::None,None
TIG_PostNL::Shipment ID,Shipment ID
TIG_PostNL::Order ID,Order ID
TIG_PostNL::Use a custom value,Use a custom value
TIG_PostNL::EU Pack Special Consumer (incl. signature),EU Pack Special Consumer (incl. signature)
"TIG_PostNL::EU Pack Standard (Belgium only, no signature)","EU Pack Standard (Belgium only, no signature)"
TIG_PostNL::Ascending,Ascending
TIG_PostNL::Descending,Descending
TIG_PostNL::Disabled,Disabled
